transaction_id,matched_invoice_id,transaction_date,amount
MC-BANK9001,MC-INV5002,20-Nov-2025,15621.62
MC-BANK9002,MC-INV5003,30-May-2025,14577.84
MC-BANK9003,MC-INV5004,02-Aug-2025,6225.07
MC-BANK9004,MC-INV5005,22-Feb-2025,4560.38
MC-BANK9005,MC-INV5006,28-Jul-2025,4858.44
MC-BANK9006,MC-INV5007,22-Mar-2025,6027.74
MC-BANK9007,MC-INV5008,24-Dec-2025,11701.59
MC-BANK9008,MC-INV5009,31-Aug-2025,13855.45
MC-BANK9009,MC-INV5010,18-Oct-2025,1442.61
MC-BANK9010,MC-INV5011,27-Jul-2025,11920.11
MC-BANK9011,MC-INV5012,15-Mar-2025,5468.50
MC-BANK9012,MC-INV5013,11-Sep-2025,13852.93
MC-BANK9013,MC-INV5014,24-Dec-2025,6996.94
MC-BANK9014,MC-INV5015,13-Oct-2025,4004.47
MC-BANK9015,MC-INV5016,19-Jun-2025,3715.89
MC-BANK9016,MC-INV5017,28-Aug-2025,12475.42
MC-BANK9017,MC-INV5018,11-Dec-2025,4453.68
MC-BANK9018,MC-INV5019,17-Jul-2025,10551.92
MC-BANK9019,MC-INV5020,19-Dec-2025,8152.88
MC-BANK9020,MC-INV5021,17-Sep-2025,11281.62
MC-BANK9021,MC-INV5022,26-Mar-2025,13498.26
MC-BANK9022,MC-INV5023,21-Feb-2025,18476.66
MC-BANK9023,MC-INV5025,18-Nov-2025,2725.80
MC-BANK9024,MC-INV5027,05-Oct-2025,8768.52
MC-BANK9025,MC-INV5028,29-Jun-2025,15469.91
MC-BANK9026,MC-INV5029,15-Mar-2025,16797.90
MC-BANK9027,MC-INV5030,19-Feb-2025,9358.71
MC-BANK9028,MC-INV5031,23-Apr-2025,2321.36
MC-BANK9029,MC-INV5032,14-Nov-2025,3108.87
MC-BANK9030,MC-INV5033,25-Feb-2025,3202.36
MC-BANK9031,MC-INV5034,29-Dec-2025,15220.92
MC-BANK9032,MC-INV5035,16-Nov-2025,14233.44
MC-BANK9033,MC-INV5036,23-Jun-2025,7090.18
MC-BANK9034,MC-INV5037,12-Apr-2025,11156.58
MC-BANK9035,MC-INV5038,15-Feb-2025,16609.38
MC-BANK9036,MC-INV5039,27-Jun-2025,14255.13
MC-BANK9037,MC-INV5040,11-Sep-2025,14178.51
MC-BANK9038,MC-INV5041,06-Oct-2025,12160.92
MC-BANK9039,MC-INV5042,08-Aug-2025,10511.70
MC-BANK9040,MC-INV5043,23-May-2025,4806.82
MC-BANK9041,MC-INV5044,21-Apr-2025,13872.39
MC-BANK9042,MC-INV5045,15-Oct-2025,1105.17
MC-BANK9043,MC-INV5047,18-Aug-2025,1767.38
MC-BANK9044,MC-INV5048,20-Nov-2025,17830.77
MC-BANK9045,MC-INV5049,30-Sep-2025,5398.22
MC-BANK9046,MC-INV5050,02-Jun-2025,1743.57
MC-BANK9047,MC-INV5051,03-Mar-2025,17016.91
MC-BANK9048,MC-INV5052,07-Jun-2025,17210.25
MC-BANK9049,MC-INV5053,06-Aug-2025,17527.73
MC-BANK9050,MC-INV5054,23-Oct-2025,6382.78
MC-BANK9051,MC-INV5055,01-Dec-2025,14621.84
MC-BANK9052,MC-INV5056,29-Jan-2025,5421.76
MC-BANK9053,MC-INV5057,08-Jul-2025,4160.69
MC-BANK9054,MC-INV5058,04-Jul-2025,3870.77
MC-BANK9055,MC-INV5059,18-Sep-2025,11413.72
MC-BANK9056,MC-INV5061,12-Sep-2025,17392.66
MC-BANK9057,MC-INV5062,28-Aug-2025,12519.79
MC-BANK9058,MC-INV5063,16-Jun-2025,5093.64
MC-BANK9059,MC-INV5064,17-Jul-2025,3450.97
MC-BANK9060,MC-INV5065,11-Aug-2025,15881.27
MC-BANK9061,MC-INV5066,28-May-2025,9612.08
MC-BANK9062,MC-INV5067,22-May-2025,1251.67
MC-BANK9063,MC-INV5068,20-Oct-2025,6464.97
MC-BANK9064,MC-INV5069,12-Oct-2025,3352.79
MC-BANK9065,MC-INV5070,23-Jul-2025,17703.51
MC-BANK9066,MC-INV5071,26-Mar-2025,3122.69
MC-BANK9067,MC-INV5072,27-Aug-2025,13873.88
MC-BANK9068,MC-INV5073,08-Dec-2025,4767.72
MC-BANK9069,MC-INV5074,04-Mar-2025,14187.68
MC-BANK9070,MC-INV5075,15-Jun-2025,4694.98
MC-BANK9071,MC-INV5076,07-Sep-2025,17304.64
MC-BANK9072,MC-INV5077,03-Dec-2025,16248.34
MC-BANK9073,MC-INV5078,20-Mar-2025,4917.46
MC-BANK9074,MC-INV5079,30-Dec-2025,17070.32
MC-BANK9075,MC-INV5080,17-Jul-2025,8170.90
MC-BANK9076,MC-INV5081,20-Aug-2025,11624.68
MC-BANK9077,MC-INV5082,10-Aug-2025,2657.05
MC-BANK9078,MC-INV5083,25-Feb-2025,2941.94
MC-BANK9079,MC-INV5084,05-Mar-2025,9207.18
MC-BANK9080,MC-INV5085,05-Aug-2025,1622.09
MC-BANK9081,MC-INV5086,25-Jul-2025,14245.47
MC-BANK9082,MC-INV5087,12-Apr-2025,9712.90
MC-BANK9083,MC-INV5088,19-Mar-2025,2391.30
MC-BANK9084,MC-INV5089,05-Jun-2025,11763.88
MC-BANK9085,MC-INV5090,20-Feb-2025,12782.26
