transaction_id,matched_invoice_id,transaction_date,amount
MN-BANK9001,MN-INV5001,2025-10-30,9896.16
MN-BANK9002,MN-INV5002,2025-08-07,2349.92
MN-BANK9003,MN-INV5003,2025-08-06,13292.12
MN-BANK9004,MN-INV5004,2025-02-13,8559.54
MN-BANK9005,MN-INV5005,2025-03-19,3044.65
MN-BANK9006,MN-INV5006,2025-07-09,17247.72
MN-BANK9007,MN-INV5007,2025-06-30,6441.85
MN-BANK9008,MN-INV5008,2025-12-03,7922.62
MN-BANK9009,MN-INV5009,2025-10-20,2202.89
MN-BANK9010,MN-INV5010,2025-07-07,6841.36
MN-BANK9011,MN-INV5011,2025-08-11,17137.77
MN-BANK9012,MN-INV5012,2025-08-01,14871.01
MN-BANK9013,MN-INV5013,2025-06-13,6566.23
MN-BANK9014,MN-INV5014,2025-09-14,11921.19
MN-BANK9015,MN-INV5015,2025-05-07,852.02
MN-BANK9016,MN-INV5016,2025-07-22,16655.91
MN-BANK9017,MN-INV5017,2025-07-09,17046.15
MN-BANK9018,MN-INV5018,2025-08-02,12943.77
MN-BANK9019,MN-INV5019,2025-08-20,5414.87
MN-BANK9020,MN-INV5020,2025-09-30,8832.97
MN-BANK9021,MN-INV5021,2025-12-18,2853.95
MN-BANK9022,MN-INV5023,2025-04-08,14905.42
MN-BANK9023,MN-INV5024,2025-10-23,11076.55
MN-BANK9024,MN-INV5025,2025-05-08,4906.16
MN-BANK9025,MN-INV5028,2025-08-01,16759.04
MN-BANK9026,MN-INV5029,2025-08-18,7839.04
MN-BANK9027,MN-INV5030,2025-07-24,6317.98
MN-BANK9028,MN-INV5031,2025-03-09,12316.05
MN-BANK9029,MN-INV5032,2025-05-11,8493.73
MN-BANK9030,MN-INV5033,2025-10-20,4264.48
MN-BANK9031,MN-INV5034,2025-11-27,2946.22
MN-BANK9032,MN-INV5035,2025-04-04,13331.86
MN-BANK9033,MN-INV5036,2025-07-28,17425.99
MN-BANK9034,MN-INV5037,2025-10-27,8010.74
MN-BANK9035,MN-INV5038,2025-08-17,17780.45
MN-BANK9036,MN-INV5039,2025-12-08,9022.18
MN-BANK9037,MN-INV5040,2025-07-02,16333.18
MN-BANK9038,MN-INV5041,2025-09-18,6395.22
MN-BANK9039,MN-INV5042,2025-08-13,9115.40
MN-BANK9040,MN-INV5043,2025-06-16,12333.67
MN-BANK9041,MN-INV5044,2025-12-30,8476.23
MN-BANK9042,MN-INV5045,2025-05-23,13446.13
MN-BANK9043,MN-INV5046,2025-03-21,13142.14
MN-BANK9044,MN-INV5047,2025-04-14,8763.43
MN-BANK9045,MN-INV5048,2025-08-01,9173.55
MN-BANK9046,MN-INV5049,2025-07-02,11275.93
MN-BANK9047,MN-INV5050,2025-07-28,10584.35
MN-BANK9048,MN-INV5052,2025-08-02,13049.82
MN-BANK9049,MN-INV5053,2025-08-17,2883.96
MN-BANK9050,MN-INV5054,2025-09-10,2431.89
MN-BANK9051,MN-INV5055,2025-08-21,624.62
MN-BANK9052,MN-INV5056,2025-11-12,888.25
MN-BANK9053,MN-INV5057,2025-03-29,6041.42
MN-BANK9054,MN-INV5058,2025-10-20,823.39
MN-BANK9055,MN-INV5059,2025-12-16,1144.64
MN-BANK9056,MN-INV5060,2025-04-12,17172.80
MN-BANK9057,MN-INV5061,2025-05-05,7636.63
MN-BANK9058,MN-INV5062,2025-09-24,17264.18
MN-BANK9059,MN-INV5063,2025-04-13,9476.22
MN-BANK9060,MN-INV5064,2025-03-22,5340.10
MN-BANK9061,MN-INV5065,2025-09-12,10121.94
MN-BANK9062,MN-INV5066,2025-03-17,5988.54
MN-BANK9063,MN-INV5067,2025-09-23,17864.24
MN-BANK9064,MN-INV5068,2025-04-25,7673.11
MN-BANK9065,MN-INV5069,2025-08-11,7098.17
MN-BANK9066,MN-INV5070,2025-11-26,12708.73
MN-BANK9067,MN-INV5071,2025-08-27,681.18
MN-BANK9068,MN-INV5072,2025-10-30,12661.04
MN-BANK9069,MN-INV5073,2025-06-04,4835.25
MN-BANK9070,MN-INV5074,2025-08-09,18273.41
MN-BANK9071,MN-INV5075,2025-09-18,6736.90
MN-BANK9072,MN-INV5076,2025-11-18,13823.91
MN-BANK9073,MN-INV5078,2025-07-04,14621.00
MN-BANK9074,MN-INV5079,2025-05-16,16233.05
MN-BANK9075,MN-INV5080,2025-07-28,13849.36
MN-BANK9076,MN-INV5081,2025-10-19,405.41
MN-BANK9077,MN-INV5082,2025-04-09,12533.25
MN-BANK9078,MN-INV5083,2025-12-04,5695.19
MN-BANK9079,MN-INV5084,2025-06-03,16431.21
