transaction_id,matched_invoice_id,transaction_date,amount
MW-BANK9001,MW-INV5001,09/06/2025,12508.72
MW-BANK9002,MW-INV5002,06/01/2025,2195.70
MW-BANK9003,MW-INV5003,11/12/2025,12481.63
MW-BANK9004,MW-INV5004,04/25/2025,15119.68
MW-BANK9005,MW-INV5005,12/16/2025,9714.96
MW-BANK9006,MW-INV5006,10/14/2025,17428.11
MW-BANK9007,MW-INV5007,10/14/2025,8839.07
MW-BANK9008,MW-INV5008,10/20/2025,4829.17
MW-BANK9009,MW-INV5009,03/23/2025,5076.27
MW-BANK9010,MW-INV5011,06/08/2025,6259.90
MW-BANK9011,MW-INV5012,06/19/2025,12914.74
MW-BANK9012,MW-INV5013,12/23/2025,9560.18
MW-BANK9013,MW-INV5015,11/18/2025,2946.75
MW-BANK9014,MW-INV5016,06/20/2025,14157.67
MW-BANK9015,MW-INV5018,12/21/2025,1040.24
MW-BANK9016,MW-INV5021,05/18/2025,2882.27
MW-BANK9017,MW-INV5022,08/06/2025,8572.61
MW-BANK9018,MW-INV5023,03/25/2025,8884.69
MW-BANK9019,MW-INV5024,10/28/2025,18083.99
MW-BANK9020,MW-INV5025,09/25/2025,12709.27
MW-BANK9021,MW-INV5026,06/23/2025,10922.11
MW-BANK9022,MW-INV5027,12/25/2025,14015.43
MW-BANK9023,MW-INV5028,04/03/2025,8170.57
MW-BANK9024,MW-INV5029,11/29/2025,9152.57
MW-BANK9025,MW-INV5030,12/02/2025,5570.21
MW-BANK9026,MW-INV5031,07/28/2025,245.33
MW-BANK9027,MW-INV5032,10/26/2025,10329.48
MW-BANK9028,MW-INV5033,08/01/2025,14447.75
MW-BANK9029,MW-INV5034,04/26/2025,5084.66
MW-BANK9030,MW-INV5035,07/13/2025,11619.37
MW-BANK9031,MW-INV5036,11/28/2025,7120.98
MW-BANK9032,MW-INV5037,09/26/2025,17926.11
MW-BANK9033,MW-INV5038,08/07/2025,6848.04
MW-BANK9034,MW-INV5039,05/24/2025,12863.53
MW-BANK9035,MW-INV5040,07/25/2025,1507.26
MW-BANK9036,MW-INV5041,10/23/2025,13024.99
MW-BANK9037,MW-INV5042,05/22/2025,12022.45
MW-BANK9038,MW-INV5043,04/13/2025,9520.91
MW-BANK9039,MW-INV5045,08/12/2025,15404.68
MW-BANK9040,MW-INV5046,08/22/2025,13398.59
MW-BANK9041,MW-INV5047,12/27/2025,13737.98
MW-BANK9042,MW-INV5048,11/24/2025,3534.69
MW-BANK9043,MW-INV5049,08/02/2025,5257.63
MW-BANK9044,MW-INV5050,04/16/2025,4964.18
MW-BANK9045,MW-INV5051,08/08/2025,3315.88
MW-BANK9046,MW-INV5052,04/25/2025,4527.81
MW-BANK9047,MW-INV5053,08/06/2025,10010.91
MW-BANK9048,MW-INV5054,08/30/2025,11516.17
MW-BANK9049,MW-INV5055,12/21/2025,7776.82
MW-BANK9050,MW-INV5056,07/11/2025,4275.88
MW-BANK9051,MW-INV5057,04/27/2025,10116.00
MW-BANK9052,MW-INV5058,04/01/2025,13655.39
MW-BANK9053,MW-INV5059,08/23/2025,15048.16
MW-BANK9054,MW-INV5060,05/08/2025,11456.37
MW-BANK9055,MW-INV5061,05/26/2025,5459.27
MW-BANK9056,MW-INV5062,03/26/2025,18362.12
MW-BANK9057,MW-INV5064,08/07/2025,9611.51
MW-BANK9058,MW-INV5065,03/31/2025,12337.04
MW-BANK9059,MW-INV5066,10/04/2025,5077.65
MW-BANK9060,MW-INV5069,07/10/2025,12057.52
MW-BANK9061,MW-INV5070,04/12/2025,175.18
MW-BANK9062,MW-INV5071,08/13/2025,4351.18
MW-BANK9063,MW-INV5072,04/11/2025,11922.92
MW-BANK9064,MW-INV5073,05/28/2025,7704.88
MW-BANK9065,MW-INV5075,11/25/2025,14444.09
MW-BANK9066,MW-INV5076,08/11/2025,5573.20
MW-BANK9067,MW-INV5077,12/01/2025,18090.74
MW-BANK9068,MW-INV5078,09/06/2025,17664.21
MW-BANK9069,MW-INV5079,09/27/2025,14226.47
MW-BANK9070,MW-INV5080,08/03/2025,1600.05
MW-BANK9071,MW-INV5081,07/15/2025,15682.69
MW-BANK9072,MW-INV5082,12/13/2025,13760.08
MW-BANK9073,MW-INV5083,10/17/2025,3213.77
MW-BANK9074,MW-INV5084,06/16/2025,9762.72
MW-BANK9075,MW-INV5085,09/24/2025,3036.64
MW-BANK9076,MW-INV5086,02/13/2025,4637.52
MW-BANK9077,MW-INV5087,12/24/2025,7788.31
MW-BANK9078,MW-INV5088,05/17/2025,4245.45
MW-BANK9079,MW-INV5089,08/11/2025,6919.67
MW-BANK9080,MW-INV5090,05/28/2025,13595.95
MW-BANK9081,MW-INV5091,08/15/2025,15729.26
MW-BANK9082,MW-INV5092,07/14/2025,1857.04
MW-BANK9083,MW-INV5093,11/05/2025,15196.32
MW-BANK9084,MW-INV5094,07/31/2025,13008.31
MW-BANK9085,MW-INV5095,04/26/2025,8702.11
MW-BANK9086,MW-INV5098,08/31/2025,10351.75
MW-BANK9087,MW-INV5100,06/02/2025,16710.80
MW-BANK9088,MW-INV5101,05/17/2025,13443.31
MW-BANK9089,MW-INV5102,06/30/2025,8334.31
MW-BANK9090,MW-INV5103,09/30/2025,2668.28
MW-BANK9091,MW-INV5104,07/25/2025,14498.15
MW-BANK9092,MW-INV5105,07/08/2025,4169.02
MW-BANK9093,MW-INV5107,11/19/2025,6660.67
MW-BANK9094,MW-INV5108,10/24/2025,10492.18
MW-BANK9095,MW-INV5109,04/10/2025,515.68
MW-BANK9096,MW-INV5110,07/31/2025,1242.85
MW-BANK9097,MW-INV5111,07/19/2025,10903.41
