invoice_id,vendor_id,invoice_date,due_date,paid_date,amount,status,po_reference
MN-INV5001,MN-V101,2025-10-27,2025-11-26,2025-10-30,9896.16,Paid,PO-17455
MN-INV5002,MN-V104,2025-07-26,2025-08-25,2025-08-05,2349.92,Paid,PO-84668
MN-INV5003,MN-V109,2025-06-11,2025-07-11,2025-07-28,13292.12,Paid,PO-41285
MN-INV5004,MN-V102,2025-01-05,2025-02-04,2025-02-13,8559.54,Paid,PO-83792
MN-INV5005,MN-V106,2025-02-05,2025-02-20,2025-03-10,3044.65,Paid,PO-81200
MN-INV5006,MN-V109,2025-06-03,2025-07-03,2025-07-09,17247.72,Paid,PO-23577
MN-INV5007,MN-V103,2025-05-20,2025-06-19,2025-06-29,6441.85,Paid,PO-93130
MN-INV5008,MN-V102,2025-11-21,2025-12-21,2025-12-03,7922.62,Paid,PO-46265
MN-INV5009,MN-V108,2025-10-10,2025-11-09,2025-10-18,2202.89,Paid,PO-29536
MN-INV5010,MN-V101,2025-06-07,2025-07-07,2025-07-07,6841.36,Paid,PO-15229
MN-INV5011,MN-V109,2025-07-28,2025-08-27,2025-08-11,17137.77,Paid,PO-41029
MN-INV5012,MN-V106,2025-07-30,2025-08-14,2025-08-01,14871.01,Paid,PO-42527
MN-INV5013,MN-V108,2025-04-24,2025-05-24,2025-06-11,6566.23,Paid,PO-39831
MN-INV5014,MN-V105,2025-06-29,2025-08-13,2025-09-13,11921.19,Paid,PO-62386
MN-INV5015,MN-V105,2025-04-02,2025-05-17,2025-05-06,852.02,Paid,PO-88193
MN-INV5016,MN-V102,2025-07-17,2025-08-16,2025-07-22,16655.91,Paid,PO-34914
MN-INV5017,MN-V104,2025-07-06,2025-08-05,2025-07-09,17046.15,Paid,PO-91678
MN-INV5018,MN-V106,2025-07-26,2025-08-10,2025-08-01,12943.77,Paid,PO-82667
MN-INV5019,MN-V105,2025-07-27,2025-09-10,2025-08-20,5414.87,Paid,PO-66346
MN-INV5020,MN-V104,2025-09-19,2025-10-19,2025-09-28,8832.97,Paid,PO-32241
MN-INV5021,MN-V104,2025-12-11,2026-01-10,2025-12-18,2853.95,Paid,PO-16057
MN-INV5022,MN-V104,2025-12-23,2026-01-22,,7196.00,Unpaid,PO-62383
MN-INV5023,MN-V101,2025-02-24,2025-03-26,2025-04-08,14905.42,Paid,PO-77889
MN-INV5024,MN-V109,2025-10-14,2025-11-13,2025-10-21,11076.55,Paid,PO-68008
MN-INV5025,MN-V108,2025-03-23,2025-04-22,2025-05-03,4906.16,Paid,PO-42406
