invoice_id,vendor_id,amount,invoice_date,due_date,paid_date,status,po_reference
MW-INV5001,MW-V105,"$12,508.72",08/26/2025,09/25/2025,09/06/2025,Paid,PO-81361
MW-INV5002,MW-V105,"$2,220.70",04/07/2025,05/07/2025,06/01/2025,Paid,PO-96533
MW-INV5003,MW-V108,"$12,481.63",11/03/2025,12/03/2025,11/11/2025,Paid,PO-16380
MW-INV5004,MW-V101,"$15,119.68",03/13/2025,04/12/2025,04/16/2025,Paid,PO-85511
MW-INV5005,MW-V103,"$9,714.96",12/05/2025,01/04/2026,12/14/2025,Paid,PO-64206
MW-INV5006,MW-V107,"$17,428.11",10/12/2025,11/11/2025,10/13/2025,Paid,PO-97994
MW-INV5007,MW-V103,"$8,839.07",10/03/2025,11/02/2025,10/13/2025,Paid,PO-39536
MW-INV5008,MW-V107,"$4,829.17",10/13/2025,11/12/2025,10/20/2025,Paid,PO-53288
MW-INV5009,MW-V104,"$5,076.27",01/27/2025,03/13/2025,03/23/2025,Paid,PO-98299
MW-INV5010,MW-V104,"$5,076.27",01/27/2025,03/13/2025,03/23/2025,Paid,PO-98299
MW-INV5011,MW-V109,"$6,259.90",04/22/2025,06/06/2025,05/30/2025,Paid,
MW-INV5012,MW-V108,"$12,914.74",05/05/2025,06/04/2025,06/18/2025,Paid,PO-36805
MW-INV5013,MW-V109,"$9,560.18",11/29/2025,01/13/2026,12/22/2025,Paid,PO-75179
MW-INV5014,MW-V104,"$5,892.12",07/09/2025,08/23/2025,08/04/2025,Paid,PO-15992
MW-INV5015,MW-V109,"$2,946.75",10/27/2025,12/11/2025,11/18/2025,Paid,PO-53236
MW-INV5016,MW-V106,"$14,157.67",05/12/2025,06/11/2025,06/18/2025,Paid,PO-74044
MW-INV5017,MW-V106,"$3,527.28",03/28/2025,04/27/2025,05/16/2025,Paid,PO-81058
MW-INV5018,MW-V102,"$1,040.24",12/09/2025,01/08/2026,12/21/2025,Paid,PO-10836
MW-INV5019,MW-V104,"$11,852.32",09/16/2025,10/31/2025,10/09/2025,Paid,PO-90808
MW-INV5020,MW-V109,$367.47,07/30/2025,09/13/2025,08/24/2025,Paid,PO-79391
MW-INV5021,MW-V107,"$2,882.27",04/02/2025,05/02/2025,05/17/2025,Paid,PO-35156
MW-INV5022,MW-V106,"$8,572.61",07/27/2025,08/26/2025,08/06/2025,Paid,PO-41877
MW-INV5023,MW-V101,"$8,884.69",02/17/2025,03/19/2025,03/23/2025,Paid,
MW-INV5024,MW-V106,"$18,083.99",10/17/2025,11/16/2025,10/28/2025,Paid,PO-22499
MW-INV5025,MW-V110,"$12,709.27",09/01/2025,10/16/2025,09/25/2025,Paid,PO-46749
MW-INV5026,MW-V101,"$10,922.11",04/17/2025,05/17/2025,06/18/2025,Paid,PO-62205
MW-INV5027,MW-V107,"$14,015.43",12/13/2025,01/12/2026,12/25/2025,Paid,PO-28343
MW-INV5028,MW-V101,"$8,170.57",02/20/2025,03/22/2025,03/29/2025,Paid,PO-19963
MW-INV5029,MW-V101,"$9,152.57",11/21/2025,12/21/2025,11/29/2025,Paid,PO-56636
MW-INV5030,MW-V102,"$5,570.21",11/13/2025,12/13/2025,12/02/2025,Paid,PO-42302
MW-INV5031,MW-V103,$245.33,07/19/2025,08/18/2025,07/28/2025,Paid,PO-50405
MW-INV5032,MW-V108,"$10,329.48",10/13/2025,11/12/2025,10/24/2025,Paid,PO-63483
MW-INV5033,MW-V106,"$14,447.75",07/17/2025,08/16/2025,07/30/2025,Paid,PO-83339
MW-INV5034,MW-V103,"$5,084.66",03/13/2025,04/12/2025,04/24/2025,Paid,PO-45180
MW-INV5035,MW-V102,"$11,619.37",07/04/2025,08/03/2025,07/13/2025,Paid,PO-87831
MW-INV5036,MW-V106,"$7,120.98",11/14/2025,12/14/2025,11/26/2025,Paid,PO-53193
MW-INV5037,MW-V104,"$17,926.11",09/03/2025,10/18/2025,09/24/2025,Paid,PO-48200
MW-INV5038,MW-V105,"$6,848.04",07/21/2025,08/20/2025,08/07/2025,Paid,PO-83905
MW-INV5039,MW-V108,"$12,863.53",04/18/2025,05/18/2025,05/23/2025,Paid,PO-63627
MW-INV5040,MW-V107,"$1,507.26",07/13/2025,08/12/2025,07/23/2025,Paid,PO-88372
MW-INV5041,MW-V107,"$13,024.99",10/06/2025,11/05/2025,10/23/2025,Paid,PO-80373
MW-INV5042,MW-V106,"$12,022.45",03/27/2025,04/26/2025,05/13/2025,Paid,PO-15806
MW-INV5043,MW-V107,"$9,520.91",02/24/2025,03/26/2025,04/13/2025,Paid,PO-77999
MW-INV5044,MW-V110,"$9,333.55",12/20/2025,02/03/2026,,Unpaid,PO-55215
MW-INV5045,MW-V105,"$15,404.68",08/01/2025,08/31/2025,08/12/2025,Paid,PO-28569
MW-INV5046,MW-V102,"$13,398.59",08/13/2025,09/12/2025,08/22/2025,Paid,PO-69303
MW-INV5047,MW-V102,"$13,737.98",12/13/2025,01/12/2026,12/25/2025,Paid,PO-77632
MW-INV5048,MW-V107,"$3,534.69",11/19/2025,12/19/2025,11/22/2025,Paid,PO-93948
MW-INV5049,MW-V107,"$5,257.63",07/19/2025,08/18/2025,07/31/2025,Paid,PO-18200
MW-INV5050,MW-V108,"$4,964.18",02/28/2025,03/30/2025,04/11/2025,Paid,PO-74157
MW-INV5051,MW-V102,"$3,315.88",06/28/2025,07/28/2025,08/03/2025,Paid,PO-98288
