transaction_id,entity,matched_invoice_id,transaction_date,amount
MN-BANK9001,Meridian North,MN-INV5001,2025-10-30,9896.16
MN-BANK9002,Meridian North,MN-INV5002,2025-08-07,2349.92
MN-BANK9003,Meridian North,MN-INV5003,2025-08-06,13292.12
MN-BANK9004,Meridian North,MN-INV5004,2025-02-13,8559.54
MN-BANK9005,Meridian North,MN-INV5005,2025-03-19,3044.65
MN-BANK9006,Meridian North,MN-INV5006,2025-07-09,17247.72
MN-BANK9007,Meridian North,MN-INV5007,2025-06-30,6441.85
MN-BANK9008,Meridian North,MN-INV5008,2025-12-03,7922.62
MN-BANK9009,Meridian North,MN-INV5009,2025-10-20,2202.89
MN-BANK9010,Meridian North,MN-INV5010,2025-07-07,6841.36
MN-BANK9011,Meridian North,MN-INV5011,2025-08-11,17137.77
MN-BANK9012,Meridian North,MN-INV5012,2025-08-01,14871.01
MN-BANK9013,Meridian North,MN-INV5013,2025-06-13,6566.23
MN-BANK9014,Meridian North,MN-INV5014,2025-09-14,11921.19
MN-BANK9015,Meridian North,MN-INV5015,2025-05-07,852.02
MN-BANK9016,Meridian North,MN-INV5016,2025-07-22,16655.91
MN-BANK9017,Meridian North,MN-INV5017,2025-07-09,17046.15
MN-BANK9018,Meridian North,MN-INV5018,2025-08-02,12943.77
MN-BANK9019,Meridian North,MN-INV5019,2025-08-20,5414.87
MN-BANK9020,Meridian North,MN-INV5020,2025-09-30,8832.97
MN-BANK9021,Meridian North,MN-INV5021,2025-12-18,2853.95
MN-BANK9022,Meridian North,MN-INV5023,2025-04-08,14905.42
MN-BANK9023,Meridian North,MN-INV5024,2025-10-23,11076.55
MN-BANK9024,Meridian North,MN-INV5025,2025-05-08,4906.16
MN-BANK9025,Meridian North,MN-INV5028,2025-08-01,16759.04
MN-BANK9026,Meridian North,MN-INV5029,2025-08-18,7839.04
MN-BANK9027,Meridian North,MN-INV5030,2025-07-24,6317.98
MN-BANK9028,Meridian North,MN-INV5031,2025-03-09,12316.05
MN-BANK9029,Meridian North,MN-INV5032,2025-05-11,8493.73
MN-BANK9030,Meridian North,MN-INV5033,2025-10-20,4264.48
MN-BANK9031,Meridian North,MN-INV5034,2025-11-27,2946.22
MN-BANK9032,Meridian North,MN-INV5035,2025-04-04,13331.86
MN-BANK9033,Meridian North,MN-INV5036,2025-07-28,17425.99
MN-BANK9034,Meridian North,MN-INV5037,2025-10-27,8010.74
MN-BANK9035,Meridian North,MN-INV5038,2025-08-17,17780.45
MN-BANK9036,Meridian North,MN-INV5039,2025-12-08,9022.18
MN-BANK9037,Meridian North,MN-INV5040,2025-07-02,16333.18
MN-BANK9038,Meridian North,MN-INV5041,2025-09-18,6395.22
MN-BANK9039,Meridian North,MN-INV5042,2025-08-13,9115.4
MN-BANK9040,Meridian North,MN-INV5043,2025-06-16,12333.67
MN-BANK9041,Meridian North,MN-INV5044,2025-12-30,8476.23
MN-BANK9042,Meridian North,MN-INV5045,2025-05-23,13446.13
MN-BANK9043,Meridian North,MN-INV5046,2025-03-21,13142.14
MN-BANK9044,Meridian North,MN-INV5047,2025-04-14,8763.43
MN-BANK9045,Meridian North,MN-INV5048,2025-08-01,9173.55
MN-BANK9046,Meridian North,MN-INV5049,2025-07-02,11275.93
MN-BANK9047,Meridian North,MN-INV5050,2025-07-28,10584.35
MN-BANK9048,Meridian North,MN-INV5052,2025-08-02,13049.82
MN-BANK9049,Meridian North,MN-INV5053,2025-08-17,2883.96
MN-BANK9050,Meridian North,MN-INV5054,2025-09-10,2431.89
MN-BANK9051,Meridian North,MN-INV5055,2025-08-21,624.62
MN-BANK9052,Meridian North,MN-INV5056,2025-11-12,888.25
MN-BANK9053,Meridian North,MN-INV5057,2025-03-29,6041.42
MN-BANK9054,Meridian North,MN-INV5058,2025-10-20,823.39
MN-BANK9055,Meridian North,MN-INV5059,2025-12-16,1144.64
MN-BANK9056,Meridian North,MN-INV5060,2025-04-12,17172.8
MN-BANK9057,Meridian North,MN-INV5061,2025-05-05,7636.63
MN-BANK9058,Meridian North,MN-INV5062,2025-09-24,17264.18
MN-BANK9059,Meridian North,MN-INV5063,2025-04-13,9476.22
MN-BANK9060,Meridian North,MN-INV5064,2025-03-22,5340.1
MN-BANK9061,Meridian North,MN-INV5065,2025-09-12,10121.94
MN-BANK9062,Meridian North,MN-INV5066,2025-03-17,5988.54
MN-BANK9063,Meridian North,MN-INV5067,2025-09-23,17864.24
MN-BANK9064,Meridian North,MN-INV5068,2025-04-25,7673.11
MN-BANK9065,Meridian North,MN-INV5069,2025-08-11,7098.17
MN-BANK9066,Meridian North,MN-INV5070,2025-11-26,12708.73
MN-BANK9067,Meridian North,MN-INV5071,2025-08-27,681.18
MN-BANK9068,Meridian North,MN-INV5072,2025-10-30,12661.04
MN-BANK9069,Meridian North,MN-INV5073,2025-06-04,4835.25
MN-BANK9070,Meridian North,MN-INV5074,2025-08-09,18273.41
MN-BANK9071,Meridian North,MN-INV5075,2025-09-18,6736.9
MN-BANK9072,Meridian North,MN-INV5076,2025-11-18,13823.91
MN-BANK9073,Meridian North,MN-INV5078,2025-07-04,14621.0
MN-BANK9074,Meridian North,MN-INV5079,2025-05-16,16233.05
MN-BANK9075,Meridian North,MN-INV5080,2025-07-28,13849.36
MN-BANK9076,Meridian North,MN-INV5081,2025-10-19,405.41
MN-BANK9077,Meridian North,MN-INV5082,2025-04-09,12533.25
MN-BANK9078,Meridian North,MN-INV5083,2025-12-04,5695.19
MN-BANK9079,Meridian North,MN-INV5084,2025-06-03,16431.21
MN-BANK9080,Meridian North,MN-INV5085,2025-08-08,11447.22
MN-BANK9081,Meridian North,MN-INV5087,2025-06-30,15279.16
MN-BANK9082,Meridian North,MN-INV5088,2025-04-12,14591.05
MN-BANK9083,Meridian North,MN-INV5089,2025-08-01,11086.26
MN-BANK9084,Meridian North,MN-INV5090,2025-12-09,16049.32
MN-BANK9085,Meridian North,MN-INV5091,2025-04-05,2235.46
MN-BANK9086,Meridian North,MN-INV5092,2025-11-23,945.75
MN-BANK9087,Meridian North,MN-INV5093,2025-08-15,16843.01
MN-BANK9088,Meridian North,MN-INV5094,2025-07-23,7139.6
MN-BANK9089,Meridian North,MN-INV5095,2025-12-10,13377.41
MN-BANK9090,Meridian North,MN-INV5096,2025-03-19,5885.26
MN-BANK9091,Meridian North,MN-INV5097,2025-04-04,13706.91
MN-BANK9092,Meridian North,MN-INV5098,2025-07-11,16180.7
MN-BANK9093,Meridian North,MN-INV5099,2025-06-06,15697.49
MN-BANK9094,Meridian North,MN-INV5100,2025-11-27,11409.07
MN-BANK9095,Meridian North,MN-INV5101,2025-08-24,2778.66
MN-BANK9096,Meridian North,MN-INV5102,2025-06-15,7053.17
MN-BANK9097,Meridian North,MN-INV5103,2025-03-20,1063.14
MN-BANK9098,Meridian North,MN-INV5104,2025-10-06,2238.55
MN-BANK9099,Meridian North,MN-INV5105,2025-05-26,291.06
MN-BANK9100,Meridian North,MN-INV5106,2025-08-23,3374.0
MN-BANK9101,Meridian North,MN-INV5107,2025-08-04,493.91
MN-BANK9102,Meridian North,MN-INV5108,2025-04-25,7582.34
MN-BANK9103,Meridian North,MN-INV5109,2025-08-23,10955.79
MN-BANK9104,Meridian North,MN-INV5110,2025-09-27,11769.67
MN-BANK9105,Meridian North,MN-INV5111,2025-06-17,3333.71
MN-BANK9106,Meridian North,MN-INV5112,2025-10-29,14093.75
MN-BANK9107,Meridian North,MN-INV5113,2025-04-05,11735.92
MN-BANK9108,Meridian North,MN-INV5114,2025-07-19,15411.63
MN-BANK9109,Meridian North,MN-INV5115,2025-10-29,16589.34
MN-BANK9110,Meridian North,MN-INV5116,2025-03-18,8417.1
MN-BANK9111,Meridian North,MN-INV5117,2025-08-20,6827.53
MN-BANK9112,Meridian North,MN-INV5118,2025-03-09,6199.83
MN-BANK9113,Meridian North,MN-INV5119,2025-08-14,16972.3
MN-BANK9114,Meridian North,MN-INV5120,2025-08-04,10406.22
MN-BANK9115,Meridian North,MN-INV5121,2025-03-26,6789.55
MN-BANK9116,Meridian North,MN-INV5122,2025-04-20,2993.24
MN-BANK9117,Meridian North,MN-INV5123,2025-12-14,2554.75
MN-BANK9118,Meridian North,MN-INV5124,2025-03-24,7689.26
MN-BANK9119,Meridian North,MN-INV5125,2025-06-12,14988.25
MN-BANK9120,Meridian North,MN-INV5126,2025-07-04,14428.58
MN-BANK9121,Meridian North,MN-INV5127,2025-03-13,10325.82
MN-BANK9122,Meridian North,MN-INV5128,2025-09-08,16762.37
MN-BANK9123,Meridian North,MN-INV5129,2025-08-14,4476.53
MN-BANK9124,Meridian North,MN-INV5130,2025-05-05,852.86
MN-BANK9125,Meridian North,MN-INV5131,2025-02-21,10220.56
MN-BANK9126,Meridian North,MN-INV5132,2025-08-19,11874.76
MN-BANK9127,Meridian North,MN-INV5133,2025-11-01,8026.53
MN-BANK9128,Meridian North,MN-INV5135,2025-02-17,4804.48
MN-BANK9129,Meridian North,MN-INV5136,2025-03-26,963.56
MN-BANK9130,Meridian North,MN-INV5137,2025-05-06,8548.42
MN-BANK9131,Meridian North,MN-INV5138,2025-10-18,8836.89
MN-BANK9132,Meridian North,MN-INV5139,2025-06-22,16472.08
MN-BANK9133,Meridian North,MN-INV5140,2025-07-04,14851.07
MN-BANK9134,Meridian North,MN-INV5142,2025-11-12,18466.06
MN-BANK9135,Meridian North,MN-INV5143,2025-09-25,17633.69
MN-BANK9136,Meridian North,MN-INV5144,2025-07-07,7175.38
MN-BANK9137,Meridian North,MN-INV5145,2025-11-01,5918.97
MN-BANK9138,Meridian North,MN-INV5146,2025-04-24,4953.6
MN-BANK9139,Meridian North,MN-INV5147,2025-06-07,8444.98
MN-BANK9140,Meridian North,MN-INV5148,2025-10-19,5478.15
MN-BANK9141,Meridian North,MN-INV5149,2025-05-31,9215.3
MN-BANK9142,Meridian North,MN-INV5151,2025-12-03,9643.56
MN-BANK9143,Meridian North,MN-INV5152,2025-09-26,16861.57
MN-BANK9144,Meridian North,MN-INV5153,2025-08-23,5362.29
MN-BANK9145,Meridian North,MN-INV5154,2025-03-27,9372.22
MN-BANK9146,Meridian North,MN-INV5155,2025-10-24,1640.44
MN-BANK9147,Meridian North,MN-INV5156,2025-09-24,16463.09
MN-BANK9148,Meridian North,MN-INV5157,2025-07-05,3050.78
MN-BANK9149,Meridian North,MN-INV5158,2025-07-26,18048.12
MN-BANK9150,Meridian North,MN-INV5159,2025-09-13,5475.39
MN-BANK9151,Meridian North,MN-INV5160,2025-05-10,14153.28
MN-BANK9152,Meridian North,MN-INV5161,2025-09-24,10829.36
MN-BANK9153,Meridian North,MN-INV5163,2025-05-22,7239.5
MN-BANK9154,Meridian North,MN-INV5164,2025-08-01,6998.19
MN-BANK9155,Meridian North,MN-INV5165,2025-03-13,6261.3
MN-BANK9156,Meridian North,MN-INV5166,2025-04-23,7360.72
MN-BANK9157,Meridian North,MN-INV5167,2025-10-24,6909.37
MN-BANK9158,Meridian North,MN-INV5168,2025-11-19,8858.73
MN-BANK9159,Meridian North,MN-INV5169,2025-04-25,14364.02
MN-BANK9160,Meridian North,MN-INV5170,2025-02-20,8243.06
MN-BANK9161,Meridian North,MN-INV5171,2025-03-12,10442.27
MN-BANK9162,Meridian North,MN-INV5172,2025-07-09,12552.19
MN-BANK9163,Meridian North,MN-INV5173,2025-11-05,18174.48
MN-BANK9164,Meridian North,MN-INV5174,2025-08-15,2386.39
MN-BANK9165,Meridian North,MN-INV5175,2025-07-31,1600.19
MN-BANK9166,Meridian North,MN-INV5177,2025-03-05,11856.28
MN-BANK9167,Meridian North,MN-INV5178,2025-10-16,18094.66
MN-BANK9168,Meridian North,MN-INV5179,2025-08-18,14245.6
MN-BANK9169,Meridian North,MN-INV5180,2025-05-18,17287.48
MN-BANK9170,Meridian North,MN-INV5181,2025-04-03,2118.97
MN-BANK9171,Meridian North,MN-INV5182,2025-09-27,8738.18
MN-BANK9172,Meridian North,MN-INV5183,2025-08-07,14046.14
MN-BANK9173,Meridian North,MN-INV5185,2025-06-14,6198.62
MN-BANK9174,Meridian North,MN-INV5187,2025-09-06,5779.9
MN-BANK9175,Meridian North,MN-INV5188,2025-07-31,2600.99
MN-BANK9176,Meridian North,MN-INV5189,2025-10-13,14866.61
MN-BANK9177,Meridian North,MN-INV5190,2025-10-07,10502.5
MN-BANK9178,Meridian North,MN-INV5191,2025-09-25,8257.77
MN-BANK9179,Meridian North,MN-INV5192,2025-09-02,10497.77
MN-BANK9180,Meridian North,MN-INV5193,2025-11-05,1490.09
MN-BANK9181,Meridian North,MN-INV5194,2025-02-28,2635.12
MN-BANK9182,Meridian North,,2025-07-13,162.75
MN-BANK9183,Meridian North,,2025-12-16,386.37
MN-BANK9184,Meridian North,,2025-10-04,70.54
MN-BANK9185,Meridian North,,2025-06-28,65.08
MN-BANK9186,Meridian North,,2025-10-03,169.36
MN-BANK9187,Meridian North,,2025-03-07,296.59
MN-BANK9188,Meridian North,,2025-04-25,337.23
