invoice_id,entity,vendor_id,invoice_date,due_date,paid_date,amount,status,po_reference,is_duplicate
MN-INV5001,Meridian North,1,2025-10-27,2025-11-26,2025-10-30,9896.16,Paid,PO-17455,0
MN-INV5002,Meridian North,4,2025-07-26,2025-08-25,2025-08-05,2349.92,Paid,PO-84668,0
MN-INV5003,Meridian North,9,2025-06-11,2025-07-11,2025-07-28,13292.12,Paid,PO-41285,0
MN-INV5004,Meridian North,2,2025-01-05,2025-02-04,2025-02-13,8559.54,Paid,PO-83792,0
MN-INV5005,Meridian North,6,2025-02-05,2025-02-20,2025-03-10,3044.65,Paid,PO-81200,0
MN-INV5006,Meridian North,9,2025-06-03,2025-07-03,2025-07-09,17247.72,Paid,PO-23577,0
MN-INV5007,Meridian North,3,2025-05-20,2025-06-19,2025-06-29,6441.85,Paid,PO-93130,0
MN-INV5008,Meridian North,2,2025-11-21,2025-12-21,2025-12-03,7922.62,Paid,PO-46265,0
MN-INV5009,Meridian North,8,2025-10-10,2025-11-09,2025-10-18,2202.89,Paid,PO-29536,0
MN-INV5010,Meridian North,1,2025-06-07,2025-07-07,2025-07-07,6841.36,Paid,PO-15229,0
MN-INV5011,Meridian North,9,2025-07-28,2025-08-27,2025-08-11,17137.77,Paid,PO-41029,0
MN-INV5012,Meridian North,6,2025-07-30,2025-08-14,2025-08-01,14871.01,Paid,PO-42527,0
MN-INV5013,Meridian North,8,2025-04-24,2025-05-24,2025-06-11,6566.23,Paid,PO-39831,0
MN-INV5014,Meridian North,5,2025-06-29,2025-08-13,2025-09-13,11921.19,Paid,PO-62386,0
MN-INV5015,Meridian North,5,2025-04-02,2025-05-17,2025-05-06,852.02,Paid,PO-88193,0
MN-INV5016,Meridian North,2,2025-07-17,2025-08-16,2025-07-22,16655.91,Paid,PO-34914,0
MN-INV5017,Meridian North,4,2025-07-06,2025-08-05,2025-07-09,17046.15,Paid,PO-91678,0
MN-INV5018,Meridian North,6,2025-07-26,2025-08-10,2025-08-01,12943.77,Paid,PO-82667,0
MN-INV5019,Meridian North,5,2025-07-27,2025-09-10,2025-08-20,5414.87,Paid,PO-66346,0
MN-INV5020,Meridian North,4,2025-09-19,2025-10-19,2025-09-28,8832.97,Paid,PO-32241,0
MN-INV5021,Meridian North,4,2025-12-11,2026-01-10,2025-12-18,2853.95,Paid,PO-16057,0
MN-INV5022,Meridian North,4,2025-12-23,2026-01-22,,7196.0,Unpaid,PO-62383,0
MN-INV5023,Meridian North,1,2025-02-24,2025-03-26,2025-04-08,14905.42,Paid,PO-77889,0
MN-INV5024,Meridian North,9,2025-10-14,2025-11-13,2025-10-21,11076.55,Paid,PO-68008,0
MN-INV5025,Meridian North,8,2025-03-23,2025-04-22,2025-05-03,4906.16,Paid,PO-42406,0
MN-INV5026,Meridian North,8,2025-02-09,2025-03-11,2025-03-12,13243.55,Paid,PO-40735,0
MN-INV5027,Meridian North,3,2025-04-29,2025-05-29,2025-06-06,4076.04,Paid,PO-64377,0
MN-INV5028,Meridian North,7,2025-07-19,2025-08-18,2025-07-30,16753.79,Paid,PO-86556,0
MN-INV5029,Meridian North,5,2025-07-19,2025-09-02,2025-08-17,7839.04,Paid,PO-81582,0
MN-INV5030,Meridian North,1,2025-07-19,2025-08-18,2025-07-23,6317.98,Paid,PO-99016,0
MN-INV5031,Meridian North,9,2025-01-14,2025-02-13,2025-03-07,12316.05,Paid,PO-21003,0
MN-INV5032,Meridian North,6,2025-04-19,2025-05-04,2025-05-09,8493.73,Paid,PO-54236,0
MN-INV5033,Meridian North,1,2025-10-04,2025-11-03,2025-10-20,4264.48,Paid,PO-18993,0
MN-INV5034,Meridian North,1,2025-11-15,2025-12-15,2025-11-27,2946.22,Paid,PO-26544,0
MN-INV5035,Meridian North,6,2025-03-27,2025-04-11,2025-04-04,13331.86,Paid,PO-31465,0
MN-INV5036,Meridian North,7,2025-07-23,2025-08-22,2025-07-28,17425.99,Paid,PO-35995,0
MN-INV5037,Meridian North,2,2025-10-17,2025-11-16,2025-10-27,8010.74,Paid,PO-58571,0
MN-INV5038,Meridian North,2,2025-08-10,2025-09-09,2025-08-17,17780.45,Paid,PO-93307,0
MN-INV5039,Meridian North,5,2025-11-12,2025-12-27,2025-12-08,9022.18,Paid,PO-67091,0
MN-INV5040,Meridian North,2,2025-05-23,2025-06-22,2025-06-23,16327.93,Paid,PO-41963,0
MN-INV5041,Meridian North,3,2025-09-07,2025-10-07,2025-09-18,6395.22,Paid,PO-88139,0
MN-INV5042,Meridian North,4,2025-07-28,2025-08-27,2025-08-12,9115.4,Paid,PO-41499,0
MN-INV5043,Meridian North,5,2025-04-24,2025-06-08,2025-06-14,12333.67,Paid,PO-58368,0
MN-INV5044,Meridian North,6,2025-12-26,2026-01-10,2025-12-30,8476.23,Paid,PO-50189,0
MN-INV5045,Meridian North,3,2025-04-09,2025-05-09,2025-05-23,13446.13,Paid,PO-78765,0
MN-INV5046,Meridian North,5,2025-01-08,2025-02-22,2025-03-16,13142.14,Paid,PO-26591,0
MN-INV5047,Meridian North,8,2025-02-22,2025-03-24,2025-04-13,8763.43,Paid,PO-67733,0
MN-INV5048,Meridian North,2,2025-07-25,2025-08-24,2025-08-01,9173.55,Paid,PO-85631,0
MN-INV5049,Meridian North,2,2025-05-08,2025-06-07,2025-06-30,11275.93,Paid,PO-91057,0
MN-INV5050,Meridian North,7,2025-06-06,2025-07-06,2025-07-28,10584.35,Paid,PO-17894,0
MN-INV5051,Meridian North,2,2025-03-22,2025-04-21,2025-05-03,3022.37,Paid,PO-63545,0
MN-INV5052,Meridian North,5,2025-05-25,2025-07-09,2025-08-01,13049.82,Paid,,0
MN-INV5053,Meridian North,4,2025-08-06,2025-09-05,2025-08-17,2883.96,Paid,PO-44816,0
MN-INV5054,Meridian North,5,2025-08-13,2025-09-27,2025-09-08,2431.89,Paid,PO-49857,0
MN-INV5055,Meridian North,1,2025-08-10,2025-09-09,2025-08-19,624.62,Paid,PO-40005,0
MN-INV5056,Meridian North,5,2025-10-23,2025-12-07,2025-11-12,888.25,Paid,PO-32962,0
MN-INV5057,Meridian North,8,2025-02-16,2025-03-18,2025-03-20,6041.42,Paid,PO-23710,0
MN-INV5058,Meridian North,7,2025-10-09,2025-11-08,2025-10-19,823.39,Paid,PO-21542,0
