transaction_id,entity_name,transaction_date,amount,matched_invoice_id
MN-BANK9182,Meridian North,2025-07-13,162.75,
MN-BANK9183,Meridian North,2025-12-16,386.37,
MN-BANK9184,Meridian North,2025-10-04,70.54,
MN-BANK9185,Meridian North,2025-06-28,65.08,
MN-BANK9186,Meridian North,2025-10-03,169.36,
MN-BANK9187,Meridian North,2025-03-07,296.59,
MN-BANK9188,Meridian North,2025-04-25,337.23,
MW-BANK9172,Meridian West,2025-12-30,266.1,
MW-BANK9173,Meridian West,2025-10-29,227.71,
MW-BANK9174,Meridian West,2025-11-05,94.66,
MW-BANK9175,Meridian West,2025-04-10,131.79,
MW-BANK9176,Meridian West,2025-04-01,393.71,
MW-BANK9177,Meridian West,2025-02-08,91.05,
MW-BANK9178,Meridian West,2025-03-30,299.33,
MW-BANK9179,Meridian West,2025-03-03,163.34,
MW-BANK9180,Meridian West,2025-08-08,126.06,
MC-BANK9195,Meridian Coastal,2025-02-06,237.11,
MC-BANK9196,Meridian Coastal,2025-05-09,315.35,
MC-BANK9197,Meridian Coastal,2025-01-10,360.67,
MC-BANK9198,Meridian Coastal,2025-03-18,268.09,
